sq_feet,num_bedrooms,num_bathrooms,sale_price
785,2,2,170461
1477,2,2,271651
712,1,1,139912
3233,3,3,603246
1581,2,1,278603
1616,2,2,306390
3490,4,1,616852
1123,3,2,239077
883,2,1,179857
2083,3,3,385161
846,2,2,185170
1928,4,1,382151
840,2,2,181004
1617,4,1,342070
1340,3,3,288587
3749,4,3,680108
3078,3,3,538296
3198,3,2,570582
1633,3,2,329848
1033,2,2,207035
1888,4,3,373163
3786,3,2,635111
1242,2,2,240692
2473,3,2,470254
1070,1,1,200895
2644,3,1,456490
3983,3,3,703044
3605,3,1,619693
1419,2,1,264219
2139,3,3,405033
3909,3,3,659379
701,2,1,153467
2991,3,1,525958
3765,4,3,705973
2036,4,1,409676
2640,3,3,480360
1998,3,1,385709
2508,3,1,437278
1001,1,1,178309
2113,3,3,415928
2203,3,3,422076
1050,4,1,248447
1101,2,2,232702
2182,3,1,387361
2845,3,2,532699
776,2,1,161417
3516,3,2,614070
1123,2,1,230038
1927,3,3,373208
2738,3,1,492502
868,2,2,190542
3477,4,1,645608
2153,4,1,423731
3719,3,2,676350
2890,3,1,527553
2523,4,3,479445
3131,3,2,578859
1693,3,2,339746
2680,4,3,503315
1158,3,3,249030
2422,3,1,446494
2399,3,3,463490
569,2,2,136113
3339,4,1,614455
3017,3,2,534425
612,2,1,135590
2933,3,3,518091
3118,3,1,541047
2757,3,2,521687
735,1,1,144169
759,2,2,172553
817,1,1,149077
651,2,1,148408
1129,2,1,228689
3381,4,1,631487
1307,3,1,261168
2304,3,2,448796
2596,3,1,474837
838,2,1,167269
1912,3,1,380513
3019,3,1,531509
2843,4,3,547339
3332,3,1,582674
2119,4,1,399115
2490,3,3,475308
1910,2,2,364176
1567,4,2,335895
2032,3,1,385960
2999,4,3,569533
3613,3,3,666141
2560,3,2,470259
1844,4,2,396526
3647,3,2,637753
3446,3,3,643270
1943,4,3,382441
2444,4,1,464978
2368,3,2,461519
3787,3,2,654690
1992,2,2,347192
3025,3,1,526804
2009,4,1,385673
3477,4,2,662129
2348,4,1,458702
2898,3,3,519171
3524,3,1,606405
702,2,2,151694
3006,4,3,570061
1360,4,1,285116
830,2,1,175954
1625,2,2,310108
3679,4,1,660375
826,2,2,176772
2353,3,2,443148
